7,8,30
5,10,30
9,8,34
11,4,30
4,11,30
9,8,34
6,9,30
9,8,34
6,11,34
8,8,32
9,4,26
7,4,22
5,8,26
4,9,26
10,7,34
9,8,34
4,6,20
6,8,28
11,10,42
8,6,28
7,5,24
8,7,30
7,6,26
9,8,34
6,6,24
9,7,32
4,4,16
6,4,20
6,5,22
7,9,32
6,5,22
8,7,30
9,6,30
9,4,26
4,6,20
4,9,26
6,6,24
11,9,40
6,7,26
10,6,32
10,7,34
6,10,32
9,7,32
7,9,32
7,5,24
6,9,30
8,9,34
10,7,34
11,10,42
4,6,20
6,9,30
6,8,28
4,10,28
11,8,38
4,10,28
10,4,28
5,11,32
6,4,20
7,4,22
5,8,26
5,8,26
8,9,34
4,7,22
4,8,24
11,5,32
8,10,36
9,9,36
10,10,40
11,7,36
9,7,32
7,6,26
8,11,38
9,11,40
9,4,26
11,7,36
9,11,40
10,4,28
9,9,36
8,4,24
6,9,30
6,6,24
5,7,24
4,11,30
7,5,24
6,5,22
10,11,42
4,6,20
11,4,30
10,10,40
11,9,40
4,7,22
11,10,42
8,5,26
10,8,36
6,6,24
4,10,28
5,7,24
6,7,26
10,5,30
7,7,28
4,5,18
5,10,30
6,7,26
11,6,34
7,10,34
9,6,30
10,7,34
5,6,22
6,7,26
6,8,28
8,8,32
8,5,26
11,9,40
6,10,32
9,7,32
8,6,28
4,6,20
4,4,16
10,8,36
4,10,28
8,10,36
5,4,18
7,6,26
8,4,24
5,10,30
9,7,32
10,5,30
11,9,40
10,6,32
4,8,24
6,9,30
10,11,42
10,5,30
11,7,36
8,8,32
7,6,26
8,6,28
6,10,32
9,10,38
11,6,34
5,10,30
9,7,32
11,5,32
8,11,38
9,7,32
5,4,18
8,6,28
8,4,24
7,10,34
8,8,32
8,11,38
4,9,26
8,6,28
10,9,38
7,11,36
9,4,26
4,4,16
9,7,32
7,7,28
9,8,34
11,9,40
6,9,30
10,11,42
6,9,30
5,11,32
7,5,24
11,6,34
6,5,22
6,6,24
6,4,20
8,8,32
9,5,28
7,8,30
11,4,30
11,10,42
7,5,24
11,7,36
8,6,28
10,7,34
5,5,20
6,5,22
7,9,32
5,9,28
7,8,30
10,6,32
6,4,20
6,11,34
10,4,28
5,6,22
10,9,38
10,11,42
5,4,18
8,4,24
4,10,28
5,8,26
11,9,40
4,8,24
7,7,28
9,11,40
10,11,42
8,9,34
10,11,42
7,11,36
10,7,34
11,7,36
8,6,28
4,8,24
10,7,34
4,8,24
8,11,38
9,10,38
8,10,36
6,6,24
7,6,26
9,10,38
8,6,28
5,8,26
10,9,38
11,10,42
5,11,32
7,11,36
8,7,30
7,8,30
4,6,20
6,8,28
11,8,38
11,4,30
4,7,22
8,11,38
7,9,32
8,4,24
11,9,40
6,5,22
9,10,38
5,6,22
7,10,34
4,5,18
5,8,26
4,4,16
9,11,40
4,6,20
10,7,34
7,7,28
5,8,26
9,8,34
11,7,36
11,5,32
7,4,22
7,5,24
4,11,30
6,7,26
6,11,34
9,4,26
8,6,28
10,9,38
6,11,34
9,5,28
5,10,30
10,10,40
7,9,32
11,7,36
10,4,28
6,4,20
11,9,40
6,11,34
11,7,36
10,6,32
7,4,22
8,9,34
5,4,18
4,11,30
10,10,40
4,4,16
5,8,26
9,8,34
8,10,36
10,5,30
10,10,40
11,9,40
9,8,34
5,11,32
4,9,26
9,9,36
4,5,18
5,11,32
8,9,34
6,5,22
4,8,24
11,8,38
4,10,28
9,7,32
11,6,34
6,7,26
5,11,32
9,5,28
7,6,26
11,6,34
6,6,24
9,11,40
5,8,26
4,7,22
5,4,18
10,6,32
6,4,20
5,4,18
9,4,26
4,6,20
7,7,28
11,5,32
9,8,34
10,5,30
4,9,26
8,6,28
11,8,38
7,9,32
11,11,44
5,11,32
6,8,28
11,9,40
9,6,30
5,9,28
10,8,36
7,9,32
6,9,30
10,4,28
7,4,22
7,7,28
4,11,30
10,7,34
9,7,32
9,9,36
10,5,30
7,9,32
8,6,28
10,5,30
4,7,22
4,4,16
6,4,20
9,6,30
11,9,40
4,11,30
9,9,36
10,10,40
8,6,28
4,11,30
11,7,36
5,10,30
8,8,32
11,11,44
6,4,20
7,4,22
6,8,28
6,9,30
7,8,30
6,5,22
10,11,42
11,6,34
6,8,28
6,6,24
9,8,34
11,8,38
6,9,30
6,11,34
9,10,38
11,4,30
8,9,34
7,5,24
9,11,40
11,11,44
7,6,26
5,8,26
7,9,32
7,6,26
11,7,36
10,9,38
6,5,22
9,6,30
11,8,38
7,7,28
10,5,30
7,4,22
5,10,30
11,8,38
6,7,26
10,4,28
8,4,24
8,6,28
5,4,18
11,4,30
6,11,34
5,6,22
6,5,22
10,4,28
5,10,30
10,10,40
11,5,32
9,9,36
7,11,36
4,5,18
10,8,36
6,6,24
5,4,18
9,11,40
9,4,26
7,8,30
6,5,22
5,8,26
9,8,34
5,9,28
9,11,40
5,11,32
9,7,32
6,9,30
8,9,34
10,10,40
7,5,24
5,10,30
9,11,40
6,11,34
8,10,36
7,11,36
5,7,24
9,6,30
7,10,34
9,8,34
7,5,24
9,6,30
7,6,26
6,11,34
5,5,20
7,8,30
10,11,42
11,11,44
7,8,30
7,7,28
4,11,30
4,4,16
11,5,32
10,4,28
10,6,32
8,10,36
4,4,16
6,8,28
8,7,30
5,6,22
4,11,30
11,5,32
9,4,26
8,4,24
4,9,26
9,9,36
7,5,24
10,6,32
11,5,32
7,4,22
9,11,40
8,6,28
6,4,20
7,8,30
4,7,22
4,10,28
11,11,44
10,4,28
9,10,38
6,4,20
9,6,30
10,10,40
9,8,34
6,6,24
4,6,20
10,6,32
4,8,24
11,11,44
5,7,24
9,7,32
6,4,20
4,4,16
11,6,34
4,4,16
5,9,28
9,9,36
10,10,40
9,6,30
5,7,24
11,8,38
5,7,24
6,4,20
11,9,40
9,8,34
11,7,36
7,6,26
4,6,20
9,10,38
5,8,26
9,10,38
5,6,22
4,7,22
9,8,34
8,8,32
4,6,20
5,7,24
6,7,26
8,10,36
9,5,28
6,8,28
10,5,30
7,4,22
4,8,24
6,8,28
11,6,34
6,4,20
6,7,26
5,11,32
8,6,28
7,4,22
7,6,26
6,5,22
11,7,36
7,11,36
7,7,28
10,5,30
4,10,28
7,8,30
4,6,20
5,11,32
8,11,38
6,11,34
11,8,38
4,6,20
4,5,18
6,11,34
7,11,36
5,5,20
8,9,34
10,8,36
7,7,28
5,4,18
6,8,28
5,4,18
11,5,32
8,6,28
5,11,32
6,6,24
7,4,22
11,6,34
5,8,26
6,5,22
9,11,40
10,9,38
11,7,36
4,7,22
6,5,22
9,7,32
5,10,30
11,5,32
6,4,20
9,11,40
6,7,26
5,8,26
6,11,34
6,10,32
11,5,32
10,11,42
11,8,38
8,7,30
10,6,32
6,6,24
10,9,38
10,9,38
11,6,34
10,5,30
5,5,20
7,5,24
10,10,40
5,8,26
6,10,32
4,9,26
6,10,32
7,6,26
10,11,42
10,5,30
10,11,42
7,4,22
7,5,24
5,8,26
4,8,24
6,4,20
11,10,42
9,7,32
7,9,32
10,9,38
8,8,32
10,4,28
5,11,32
4,9,26
11,9,40
7,5,24
4,9,26
9,11,40
8,9,34
5,10,30
7,6,26
10,5,30
5,11,32
10,8,36
4,10,28
5,9,28
9,8,34
8,6,28
7,11,36
7,6,26
7,10,34
5,9,28
4,9,26
7,8,30
6,6,24
4,4,16
10,7,34
7,9,32
5,7,24
4,4,16
8,11,38
4,9,26
4,9,26
10,7,34
5,11,32
8,8,32
10,6,32
5,6,22
5,5,20
5,6,22
7,9,32
8,5,26
9,8,34
7,11,36
5,7,24
6,8,28
5,5,20
5,10,30
6,7,26
10,4,28
10,5,30
10,10,40
7,7,28
10,11,42
9,11,40
7,6,26
6,10,32
10,9,38
4,6,20
9,11,40
4,5,18
5,6,22
9,7,32
8,10,36
6,7,26
6,8,28
7,11,36
7,7,28
8,4,24
9,5,28
10,4,28
4,8,24
4,5,18
9,6,30
5,10,30
4,6,20
9,7,32
9,4,26
7,5,24
4,5,18
9,9,36
8,4,24
7,11,36
8,4,24
5,7,24
6,11,34
10,5,30
7,8,30
4,8,24
5,8,26
5,4,18
7,10,34
11,8,38
4,11,30
5,11,32
6,7,26
8,9,34
10,5,30
6,4,20
5,11,32
6,5,22
11,11,44
10,4,28
4,10,28
9,8,34
5,10,30
6,9,30
9,9,36
11,6,34
11,6,34
6,9,30
5,10,30
6,11,34
5,11,32
10,7,34
6,6,24
6,5,22
7,5,24
11,9,40
10,9,38
9,8,34
6,9,30
11,6,34
4,10,28
7,9,32
11,8,38
8,10,36
11,10,42
10,8,36
4,5,18
10,4,28
5,5,20
11,10,42
7,11,36
9,11,40
7,8,30
10,9,38
7,8,30
11,7,36
6,11,34
10,7,34
11,11,44
7,6,26
11,10,42
8,4,24
4,7,22
8,4,24
10,10,40
7,6,26
7,9,32
11,9,40
11,6,34
4,5,18
6,10,32
7,9,32
7,4,22
5,4,18
6,10,32
8,6,28
5,5,20
10,9,38
11,8,38
6,8,28
